model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
ElasticNet,gfc,KR,momentum,static,Lehman Crisis,0.5458159199759809,0.36320678871710516,0.016856195403012784,0.23439164696325512,0.016004304152393324,14
ElasticNet,gfc,KR,momentum,static,Recovery,0.2831717940294905,0.16493330108150325,0.01161119716167534,0.2134297021795029,0.016004304152393324,14
ElasticNet,gfc,KR,momentum,expanding,Full Test,0.3266874294895181,0.20113145549464626,0.014236559269910014,0.22228921778607882,0.016004304152393324,14
ElasticNet,gfc,KR,momentum,expanding,Pre-Lehman,0.19697172303486213,0.15032980385273906,0.0142128089576768,0.17238490811197762,0.016004304152393324,14
ElasticNet,gfc,KR,momentum,expanding,Lehman Crisis,0.5254928137958594,0.34392822962467834,0.015851312911688648,0.22566422411861292,0.016004304152393324,14
ElasticNet,gfc,KR,momentum,expanding,Recovery,0.30055204056988033,0.16513689117190497,0.011936439346588196,0.22652938555593208,0.016004304152393324,14
Huber,gfc,KR,momentum,static,Full Test,0.3323961865653816,0.20011329467964817,0.01433607983318256,0.22617364990796174,0.015080524091948464,14
Huber,gfc,KR,momentum,static,Pre-Lehman,0.1906243805307006,0.14328368568205777,0.012796725120208227,0.16682986682241407,0.015080524091948464,14
Huber,gfc,KR,momentum,static,Lehman Crisis,0.5596647984091406,0.3683369600064761,0.02147379082202166,0.24033881945445887,0.015080524091948464,14
Huber,gfc,KR,momentum,static,Recovery,0.2575628408781198,0.14733516925179407,0.009099487950494159,0.19412795193648025,0.015080524091948464,14
Huber,gfc,KR,momentum,expanding,Full Test,0.3172438745574826,0.19423286358205832,0.013778890591218198,0.21586350240963398,0.015080524091948464,14
Huber,gfc,KR,momentum,expanding,Pre-Lehman,0.18895515310909608,0.14210623468637007,0.01254625286633813,0.1653689991848783,0.015080524091948464,14
Huber,gfc,KR,momentum,expanding,Lehman Crisis,0.5157371555217666,0.3461301554716338,0.019366658544204846,0.22147481753227524,0.015080524091948464,14
Huber,gfc,KR,momentum,expanding,Recovery,0.2828346911124539,0.14936964487386256,0.009774125039838133,0.2131756239955032,0.015080524091948464,14
LightGBM,gfc,KR,momentum,static,Full Test,0.4276253278609684,0.2202407562184135,0.016554516380600678,0.290970790594133,0.017589415078096474,14
LightGBM,gfc,KR,momentum,static,Pre-Lehman,0.1897825690749834,0.1442325299674267,0.012686465948721573,0.16609313371064788,0.017589415078096474,14
LightGBM,gfc,KR,momentum,static,Lehman Crisis,0.7652088629429388,0.44223198245796674,0.029303577926088727,0.328606328785661,0.017589415078096474,14
LightGBM,gfc,KR,momentum,static,Recovery,0.30609115092011513,0.15408197525283934,0.011046073960590232,0.2307042740770215,0.017589415078096474,14
LightGBM,gfc,KR,momentum,expanding,Full Test,0.36447425083848356,0.2049632769977741,0.014154034443022956,0.24800065386248082,0.017589415078096474,14
LightGBM,gfc,KR,momentum,expanding,Pre-Lehman,0.18792474351875244,0.14061252617123257,0.012532780675245108,0.1644672095279048,0.017589415078096474,14
LightGBM,gfc,KR,momentum,expanding,Lehman Crisis,0.6299110803178198,0.39444033416876084,0.0209856265400416,0.27050492694055966,0.017589415078096474,14
LightGBM,gfc,KR,momentum,expanding,Recovery,0.28065146140329406,0.14669032363680543,0.009650495926656805,0.21153009970092282,0.017589415078096474,14
XGBoost,gfc,KR,momentum,static,Full Test,0.3978693743824289,0.20319347684865038,0.01450778761552652,0.270723829657928,0.019149399809136075,14
