model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
TCN,covid,KR,extended,252,expanding,Recovery,0.30490444699307057,0.18894444576775035,0.036296738,0.3175478894073177,,,,,28,TRUE,,,
TCN,covid,JP,extended,22,expanding,Full Test,0.26507235833893267,0.17393484717908025,0.029049506952665092,0.30454748241488294,,,,,28,TRUE,,,
TCN,covid,JP,extended,22,expanding,Pre-crash,0.1587959779123364,0.13304707724036594,0.039233945592980726,0.29588149651251827,,,,,28,TRUE,,,
TCN,covid,JP,extended,22,expanding,Crash,0.48133677517239587,0.35926525216353566,0.017115456666181784,0.2102805423719936,,,,,28,TRUE,,,
TCN,covid,JP,extended,22,expanding,Recovery,0.2485282315544811,0.16225752843323574,0.028461660072626203,0.31672971291779867,,,,,28,TRUE,,,
LSTM,normal,US,extended,60,static,Full Test,0.1612817115676129,0.0954547681598942,0.0214846583396981,0.2756577850680926,0.0311576752714341,0.0308917045828853,24.0,24.0,28,True,,,
LSTM,normal,KR,extended,22,static,Full Test,0.1285358174221532,0.0965674639556367,0.0296637569005052,0.2417851512676336,0.0153997665268151,0.0125947746402416,9.0,9.0,28,True,,,
LSTM,normal,JP,extended,252,static,Full Test,0.1758362675357456,0.1104594393544001,0.0205233159708189,0.2583772117785444,0.0144908387312641,0.0311200015608839,33.0,33.0,28,True,,,
LSTM,911,US,extended,60,static,Full Test,0.3352300541587195,0.2107905518125604,0.0364557954032403,0.318357334690626,0.0213161590033615,0.034353207796812,11.0,11.0,28,True,,,
LSTM,911,US,extended,60,static,Shock,0.6208765772494497,0.4294578456878662,0.0676333212957259,0.3939787509179883,0.0213161590033615,0.034353207796812,11.0,11.0,28,True,,,
LSTM,911,US,extended,60,static,Recovery,0.2242968292868552,0.1610934395681728,0.0293699940640391,0.240106627660577,0.0213161590033615,0.034353207796812,11.0,11.0,28,True,,,
LSTM,911,KR,extended,22,static,Full Test,0.4963689712757143,0.3438061712419285,0.0546629174512732,0.3517241125269986,0.0109286443992437,0.0265522096306085,82.0,82.0,28,True,,,
LSTM,911,KR,extended,22,static,Shock,0.7387300352303383,0.3423132763968574,0.0633531049465087,0.5393759903709794,0.0109286443992437,0.0265522096306085,82.0,82.0,28,True,,,
LSTM,911,KR,extended,22,static,Recovery,0.4150105272686445,0.3441759708824508,0.0525103022001598,0.2919400695066549,0.0109286443992437,0.0265522096306085,82.0,82.0,28,True,,,
LSTM,911,JP,extended,22,static,Full Test,0.2343042028942455,0.1954071208050376,0.0145048306763528,0.1706560451302627,0.0112284418213322,0.0312995053827762,26.0,26.0,28,True,,,
LSTM,911,JP,extended,22,static,Shock,0.2964464843120429,0.2402042661394391,0.0136369123341539,0.1713169429084607,0.0112284418213322,0.0312995053827762,26.0,26.0,28,True,,,
LSTM,911,JP,extended,22,static,Recovery,0.2147166595213898,0.1834612153825305,0.0147362755676059,0.1680565500569761,0.0112284418213322,0.0312995053827762,26.0,26.0,28,True,,,
LSTM,gfc,US,extended,252,static,Full Test,0.6399634047696213,0.3797992095196963,0.0470198305614448,0.3959125341594714,0.0159565843668417,0.0103872086578215,96.0,96.0,28,True,,,
LSTM,gfc,US,extended,252,static,Pre-Lehman,0.2999290103550607,0.2102258354951973,0.0316635034574772,0.2690382734895137,0.0159565843668417,0.0103872086578215,96.0,96.0,28,True,,,
LSTM,gfc,US,extended,252,static,Lehman Crisis,1.152878925004598,0.8278939584891002,0.0809718966755807,0.4076452672355437,0.0159565843668417,0.0103872086578215,96.0,96.0,28,True,,,
LSTM,gfc,US,extended,252,static,Recovery,0.4009465478832932,0.3075228966772556,0.0504147385205262,0.2548464267227479,0.0159565843668417,0.0103872086578215,96.0,96.0,28,True,,,
