model,regime,country,feature_set,best_val_qlike,param_alpha,param_l1_ratio,param_epsilon,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
Huber,gfc,JP,extended,0.011164538338898442,0.9737824412570172,,1.4446912649693613,,,,,,,,,,,
LightGBM,gfc,JP,extended,0.01111082253751461,,,,1168.0,0.007368154543018242,10.0,255.0,29.0,0.887098392707996,0.6885372393945571,0.06420928819740941,0.009389417955428218,,
XGBoost,gfc,JP,extended,0.011247658750915402,,,,399.0,0.026759179642958136,4.0,,,0.8606872792106469,0.8445688988989989,0.01818011123105649,0.029163991155219927,1.1214158174861493,0.009350563082860072
Ridge,covid,US,core,0.017613178373468145,90.12852407949295,,,,,,,,,,,,,
ElasticNet,covid,US,core,0.017353055902989748,0.01444525102276306,0.3121062261782377,,,,,,,,,,,,
Huber,covid,US,core,0.016448418040495155,0.13130515189839984,,1.1130744621081614,,,,,,,,,,,
LightGBM,covid,US,core,0.016703210729698048,,,,1191.0,0.04202524891529021,4.0,247.0,25.0,0.8317924627337946,0.6497880495165136,0.2538640782868768,0.35210714568062057,,
XGBoost,covid,US,core,0.016998873089535044,,,,376.0,0.03830363111182319,3.0,,,0.8327609351855945,0.8774553012987177,0.009575572027104315,0.007449029925617399,1.0019512045484804,0.026530935240594085
Ridge,covid,US,momentum,0.01749353568591589,90.12852407949295,,,,,,,,,,,,,
ElasticNet,covid,US,momentum,0.017070152225471823,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,covid,US,momentum,0.016091935639213135,0.13130515189839984,,1.1130744621081614,,,,,,,,,,,
LightGBM,covid,US,momentum,0.016019121172992333,,,,1089.0,0.05147669879922956,3.0,229.0,28.0,0.8238139898905122,0.6677664564539469,0.0015542491484812503,3.579483070066249,,
XGBoost,covid,US,momentum,0.016604133926759045,,,,399.0,0.028512842739464226,4.0,,,0.8715331203998334,0.917548625872557,0.07358985750119172,0.012864725565457785,1.0093968765975885,0.036584067356948
Ridge,covid,US,extended,0.017858510849537698,0.057012568613371555,,,,,,,,,,,,,
ElasticNet,covid,US,extended,0.017174672478942346,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,covid,US,extended,0.016090991430083725,0.13130515189839984,,1.1130744621081614,,,,,,,,,,,
LightGBM,covid,US,extended,0.015067365347601438,,,,309.0,0.03326193335145496,9.0,33.0,5.0,0.6545301072282041,0.6476484112613945,0.0010244100457953056,0.00033122776455948784,,
XGBoost,covid,US,extended,0.015822671206250017,,,,363.0,0.031146430640278448,4.0,,,0.8476468839206674,0.7863055967096356,0.0013343036265763347,0.0007518575873681956,1.9536195033502608,0.1197269797662211
Ridge,covid,KR,core,0.014724528647466536,90.12852407949295,,,,,,,,,,,,,
ElasticNet,covid,KR,core,0.014145726802903885,0.05505213813337463,0.07472893223151872,,,,,,,,,,,,
Huber,covid,KR,core,0.014093241445183714,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,covid,KR,core,0.013374379844041578,,,,449.0,0.00820528733614359,9.0,45.0,31.0,0.7280148691621506,0.9438394820450439,0.0023583508798774733,0.0004003683987337652,,
XGBoost,covid,KR,core,0.013174175790422493,,,,291.0,0.011907401694503491,6.0,,,0.8245542926574921,0.943190263176449,0.00029973100801545247,0.00038721773717525143,1.0285850999602777,0.1836291796975346
Ridge,covid,KR,momentum,0.01457339310117689,90.12852407949295,,,,,,,,,,,,,
ElasticNet,covid,KR,momentum,0.014189609447884312,0.05505213813337463,0.07472893223151872,,,,,,,,,,,,
Huber,covid,KR,momentum,0.013842279633230353,0.345401306845622,,1.1130653914295232,,,,,,,,,,,
LightGBM,covid,KR,momentum,0.012799513592165341,,,,428.0,0.008078615920409541,6.0,38.0,38.0,0.6997735240645564,0.9668244427528512,0.48660846612001885,0.00039584934087802696,,
XGBoost,covid,KR,momentum,0.012803793837002421,,,,264.0,0.014264673340911718,5.0,,,0.9138581282262379,0.9599297338368922,0.0015849038691424548,0.015278301368209029,2.243082583591317,0.14904813484220186
Ridge,covid,KR,extended,0.014341043805210818,90.12852407949295,,,,,,,,,,,,,
ElasticNet,covid,KR,extended,0.013804687666084886,0.05505213813337463,0.07472893223151872,,,,,,,,,,,,
Huber,covid,KR,extended,0.013447185810535287,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,covid,KR,extended,0.012700548663876564,,,,353.0,0.007455438277985647,10.0,98.0,33.0,0.8610724800899925,0.9076251272574118,0.08281115256437815,0.0030627296926399135,,
XGBoost,covid,KR,extended,0.012857733791153831,,,,169.0,0.015791516196266973,6.0,,,0.8606872792106469,0.808615677621774,0.014698251207077191,0.026837193414400193,1.1002061812116273,0.2557189856812262
Ridge,covid,JP,core,0.019565639836230483,0.0010215156685612666,,,,,,,,,,,,,
ElasticNet,covid,JP,core,0.019459232183169965,0.009988151348099305,0.3739017921219132,,,,,,,,,,,,
Huber,covid,JP,core,0.01958992993166894,6.025215736203858e-05,,1.240416776398193,,,,,,,,,,,
LightGBM,covid,JP,core,0.01807854465867229,,,,294.0,0.03326193335145496,8.0,139.0,5.0,0.917339514943452,0.6095404547951768,0.05353141457011013,0.0002353827039759485,,
XGBoost,covid,JP,core,0.01918157636250146,,,,391.0,0.02800172197677303,4.0,,,0.8781032317871501,0.8958043600674943,0.032401997265097605,0.01505549494627257,1.063481915699228,0.006214432975803091
Ridge,covid,JP,momentum,0.01974452855173392,0.0010215156685612666,,,,,,,,,,,,,
ElasticNet,covid,JP,momentum,0.01951555423581308,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
