ensemble_method,models,n_models,regime,country,feature_set,protocol,member_Ls,phase,RMSE,MAE,QLIKE,RMSE_CV,n_obs
equal_weight,LSTM+TCN+TST,3,911,JP,extended,static,LSTM:L22|TCN:L22|TST:L60,Full Test,0.24149460474719947,0.19624089007518797,0.015712016086753103,0.17589319209807083,133
equal_weight,LSTM+TCN+TST,3,911,JP,extended,static,LSTM:L22|TCN:L22|TST:L60,Shock,0.30577059073740875,0.24869832976190476,0.015407321518520764,0.17670535959638062,28
equal_weight,LSTM+TCN+TST,3,911,JP,extended,static,LSTM:L22|TCN:L22|TST:L60,Recovery,0.2212224554121183,0.1822522394920635,0.015793267971615062,0.17314857075107146,105
equal_weight,1DCNN+TCN+TST,3,911,JP,extended,static,1DCNN:L60|TCN:L22|TST:L60,Full Test,0.25511607213306164,0.20573837403508774,0.01738263905246058,0.18581442152705602,133
equal_weight,1DCNN+TCN+TST,3,911,JP,extended,static,1DCNN:L60|TCN:L22|TST:L60,Shock,0.3264693813396189,0.27139314047619045,0.017641424708374296,0.18866722691577503,28
equal_weight,1DCNN+TCN+TST,3,911,JP,extended,static,1DCNN:L60|TCN:L22|TST:L60,Recovery,0.2324178660863997,0.18823043631746028,0.017313629544216922,0.18191110506799651,105
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,extended,static,LSTM:L22|1DCNN:L60|TCN:L22|TST:L60,Full Test,0.2424318751365735,0.1963967020300752,0.01592384992065079,0.17657585530215597,133
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,extended,static,LSTM:L22|1DCNN:L60|TCN:L22|TST:L60,Shock,0.3039167916136324,0.2448662035714285,0.015222951423928845,0.17563404583793066,28
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,extended,static,LSTM:L22|1DCNN:L60|TCN:L22|TST:L60,Recovery,0.22319339934439103,0.18347150161904763,0.016110756186443306,0.17469120856452383,105
equal_weight,LSTM+1DCNN,2,911,JP,momentum,expanding,LSTM:L22|1DCNN:L22,Full Test,0.23876106799842792,0.18764259739029676,0.014485760596094487,0.17390221384155188,133
equal_weight,LSTM+1DCNN,2,911,JP,momentum,expanding,LSTM:L22|1DCNN:L22,Shock,0.3293457990243979,0.26244364253112246,0.016376271965622913,0.19032951454810706,28
equal_weight,LSTM+1DCNN,2,911,JP,momentum,expanding,LSTM:L22|1DCNN:L22,Recovery,0.20804734764041447,0.16769565201940992,0.013981624230886907,0.16283654734051684,105
equal_weight,LSTM+TCN,2,911,JP,momentum,expanding,LSTM:L22|TCN:L22,Full Test,0.25859523638204673,0.19898300332234317,0.016828756921324736,0.18834847939285249,133
equal_weight,LSTM+TCN,2,911,JP,momentum,expanding,LSTM:L22|TCN:L22,Shock,0.3657897221508642,0.2973273779664721,0.020597941829549445,0.21139052160341493,28
equal_weight,LSTM+TCN,2,911,JP,momentum,expanding,LSTM:L22|TCN:L22,Recovery,0.22141212643475816,0.17275783675057546,0.015823640945798148,0.1732970240518187,105
equal_weight,LSTM+TST,2,911,JP,momentum,expanding,LSTM:L22|TST:L60,Full Test,0.22221851449804406,0.1765212393448702,0.012567095591653227,0.16185340412384697,133
equal_weight,LSTM+TST,2,911,JP,momentum,expanding,LSTM:L22|TST:L60,Shock,0.29420174156712886,0.22769345941516336,0.013696883456992834,0.17001970214149037,28
equal_weight,LSTM+TST,2,911,JP,momentum,expanding,LSTM:L22|TST:L60,Recovery,0.19866582268793395,0.16287531399279204,0.012265818827562664,0.15549372298165404,105
equal_weight,1DCNN+TCN,2,911,JP,momentum,expanding,1DCNN:L22|TCN:L22,Full Test,0.31155634584956443,0.23562312014120862,0.022395219459805108,0.22692283433738114,133
equal_weight,1DCNN+TCN,2,911,JP,momentum,expanding,1DCNN:L22|TCN:L22,Shock,0.4729567153425086,0.3856284086193357,0.031139242498240276,0.27332251481591974,28
equal_weight,1DCNN+TCN,2,911,JP,momentum,expanding,1DCNN:L22|TCN:L22,Recovery,0.2515985635615111,0.19562170988037472,0.020063479982889054,0.1969236420019203,105
equal_weight,1DCNN+TST,2,911,JP,momentum,expanding,1DCNN:L22|TST:L60,Full Test,0.23768023167106278,0.18836217248537396,0.014934194251426182,0.17311498403183095,133
equal_weight,1DCNN+TST,2,911,JP,momentum,expanding,1DCNN:L22|TST:L60,Shock,0.30708973583890287,0.24413475704958776,0.01542974681538188,0.1774676966217959,28
equal_weight,1DCNN+TST,2,911,JP,momentum,expanding,1DCNN:L22|TST:L60,Recovery,0.21542663632685768,0.17348948326825023,0.014802046901037995,0.16861224169642955,105
equal_weight,TCN+TST,2,911,JP,momentum,expanding,TCN:L22|TST:L60,Full Test,0.2579053201656858,0.20673438843328948,0.017522157171238565,0.18784597721192262,133
equal_weight,TCN+TST,2,911,JP,momentum,expanding,TCN:L22|TST:L60,Shock,0.34184940361066685,0.28367462437765933,0.020221161972882325,0.19755536955538394,28
equal_weight,TCN+TST,2,911,JP,momentum,expanding,TCN:L22|TST:L60,Recovery,0.2304117864794332,0.1862169921814575,0.016802422557466896,0.18034096662322888,105
