model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Huber,gfc,US,core,static,Pre-Lehman,0.25532992287640344,0.16800126143737493,0.018374979232286832,0.22903260093704494,0.01796874533923661,10
Huber,gfc,US,core,static,Lehman Crisis,0.7072097737682624,0.5016574153211883,0.029508942977210146,0.2500615721273689,0.01796874533923661,10
Huber,gfc,US,core,static,Recovery,0.2511912561747793,0.18019075767806406,0.01236596152315574,0.15966016992567772,0.01796874533923661,10
Huber,gfc,US,core,expanding,Full Test,0.40458383779765167,0.25013019771671857,0.01951524948523309,0.25029526816790404,0.01796874533923661,10
Huber,gfc,US,core,expanding,Pre-Lehman,0.2530358134799197,0.16768893161327036,0.018185320455946896,0.2269747698924434,0.01796874533923661,10
Huber,gfc,US,core,expanding,Lehman Crisis,0.682007852462028,0.48866592572141515,0.027496857556548734,0.2411504508501731,0.01796874533923661,10
Huber,gfc,US,core,expanding,Recovery,0.25311811553005775,0.18396258455062164,0.01224746131935954,0.1608849048020883,0.01796874533923661,10
LightGBM,gfc,US,core,static,Full Test,0.569831470840855,0.30222023737841447,0.027290220878230673,0.3525255027017563,0.01670520173624681,10
LightGBM,gfc,US,core,static,Pre-Lehman,0.2679991520492051,0.17483348030667897,0.021362220465961142,0.2403969818784783,0.01670520173624681,10
LightGBM,gfc,US,core,static,Lehman Crisis,1.0456751321305806,0.6762969477478937,0.05126669956822383,0.369739187966525,0.01670520173624681,10
LightGBM,gfc,US,core,static,Recovery,0.25728090148694593,0.1917358249654596,0.012295804301644394,0.16353082139712513,0.01670520173624681,10
LightGBM,gfc,US,core,expanding,Full Test,0.5161824901122714,0.29410240621847816,0.024531892292136682,0.3193356301366751,0.01670520173624681,10
LightGBM,gfc,US,core,expanding,Pre-Lehman,0.2663592144401863,0.17429481120439386,0.020782068638991617,0.23892594718055976,0.01670520173624681,10
LightGBM,gfc,US,core,expanding,Lehman Crisis,0.9233968832834256,0.6322326422949814,0.04173919077188873,0.32650294848304656,0.01670520173624681,10
LightGBM,gfc,US,core,expanding,Recovery,0.2805161422161612,0.21072641946604637,0.011985945745509267,0.17829941859904883,0.01670520173624681,10
XGBoost,gfc,US,core,static,Full Test,0.5299953100530487,0.2969304831183121,0.024855214708028726,0.32788091333447045,0.016715846381907765,10
XGBoost,gfc,US,core,static,Pre-Lehman,0.2619693516981615,0.17390110780182333,0.020140832318032945,0.23498821175873355,0.016715846381907765,10
XGBoost,gfc,US,core,static,Lehman Crisis,0.9573562266454629,0.6445603641124634,0.04380079776989881,0.3385105975632851,0.016715846381907765,10
XGBoost,gfc,US,core,static,Recovery,0.27988564897365226,0.21070207680916403,0.013113967819833653,0.17789866954524444,0.016715846381907765,10
XGBoost,gfc,US,core,expanding,Full Test,0.44407450786737523,0.26103662832553765,0.019911981759835946,0.2747261201491323,0.016715846381907765,10
XGBoost,gfc,US,core,expanding,Pre-Lehman,0.2576288746389289,0.1693173548651561,0.0190390254473498,0.23109477561547026,0.016715846381907765,10
XGBoost,gfc,US,core,expanding,Lehman Crisis,0.7731504368330165,0.5264005027565959,0.02835202285485069,0.27337746294889015,0.016715846381907765,10
XGBoost,gfc,US,core,expanding,Recovery,0.2432539661077109,0.18744774654505006,0.010340003072733552,0.15461513332625182,0.016715846381907765,10
Ridge,gfc,KR,core,static,Full Test,0.3486091061246184,0.20696777013713702,0.014430973314844471,0.23720547079094734,0.01566123043325242,10
Ridge,gfc,KR,core,static,Pre-Lehman,0.19686748430789597,0.1503159849054995,0.014289047573278603,0.17229368088863353,0.01566123043325242,10
Ridge,gfc,KR,core,static,Lehman Crisis,0.5882714405761418,0.367593078793255,0.016907298865355573,0.25262347024278137,0.01566123043325242,10
Ridge,gfc,KR,core,static,Recovery,0.2736169855598838,0.16478595160311685,0.01126626286447326,0.20622813772623688,0.01566123043325242,10
Ridge,gfc,KR,core,expanding,Full Test,0.32927859890954553,0.19986246017562098,0.014016376686017459,0.22405233742747166,0.01566123043325242,10
Ridge,gfc,KR,core,expanding,Pre-Lehman,0.19531230838291905,0.14936988171921417,0.014015525364088724,0.17093262837411774,0.01566123043325242,10
Ridge,gfc,KR,core,expanding,Lehman Crisis,0.5341774372456924,0.339869162814974,0.015439597600189888,0.22939369245979221,0.01566123043325242,10
Ridge,gfc,KR,core,expanding,Recovery,0.29840344340439756,0.16692081222647387,0.01192005225674316,0.2249099641912288,0.01566123043325242,10
ElasticNet,gfc,KR,core,static,Full Test,0.3356027065566005,0.20561381507800222,0.014467249321911641,0.2283554749686237,0.015716421920385994,10
ElasticNet,gfc,KR,core,static,Pre-Lehman,0.19790395811895128,0.150846416794687,0.01439716502789059,0.17320077780552257,0.015716421920385994,10
ElasticNet,gfc,KR,core,static,Lehman Crisis,0.5543342487146011,0.3615858137159149,0.016734347529732563,0.2380497027827107,0.015716421920385994,10
ElasticNet,gfc,KR,core,static,Recovery,0.279355391518388,0.16381804868597688,0.011364194226073149,0.21055323754384475,0.015716421920385994,10
ElasticNet,gfc,KR,core,expanding,Full Test,0.3255970091610063,0.19966890285213051,0.014120582847808944,0.2215472587757132,0.015716421920385994,10
ElasticNet,gfc,KR,core,expanding,Pre-Lehman,0.19625521162238638,0.14989551894585174,0.014117277892722612,0.17175783458031665,0.015716421920385994,10
ElasticNet,gfc,KR,core,expanding,Lehman Crisis,0.5239265723222243,0.33826935784200995,0.01562639439415293,0.22499162754326266,0.015716421920385994,10
ElasticNet,gfc,KR,core,expanding,Recovery,0.2991973857851712,0.16632923891989176,0.011910871600060827,0.22550836731417034,0.015716421920385994,10
Huber,gfc,KR,core,static,Full Test,0.3237015934040432,0.19525972513806275,0.01348947268268852,0.22025755354691665,0.014932845892201781,10
Huber,gfc,KR,core,static,Pre-Lehman,0.18730122658969692,0.14140307828301332,0.012450852213231474,0.1639215225284441,0.014932845892201781,10
Huber,gfc,KR,core,static,Lehman Crisis,0.5432923709390708,0.35415852753717386,0.019110893541550274,0.23330795043974603,0.014932845892201781,10
Huber,gfc,KR,core,static,Recovery,0.25211821032810955,0.14601621516360616,0.008768134779626024,0.19002427388214305,0.014932845892201781,10
Huber,gfc,KR,core,expanding,Full Test,0.3103550931104734,0.1897350096919988,0.013117376666785504,0.211176141644796,0.014932845892201781,10
Huber,gfc,KR,core,expanding,Pre-Lehman,0.18552709122536237,0.13995932524471513,0.01215640325326741,0.16236884198604518,0.014932845892201781,10
Huber,gfc,KR,core,expanding,Lehman Crisis,0.5043547193954472,0.33230888443744533,0.01782169245766258,0.2165868180209758,0.014932845892201781,10
Huber,gfc,KR,core,expanding,Recovery,0.27563147319731807,0.1505424597300024,0.009481856984210266,0.20774647926154216,0.014932845892201781,10
LightGBM,gfc,KR,core,static,Full Test,0.4202951529345153,0.22260424742144083,0.017426508475536093,0.28598309072094685,0.018058851414198086,10
LightGBM,gfc,KR,core,static,Pre-Lehman,0.19891490277757926,0.14747213926966152,0.013558525980139464,0.174085532223054,0.018058851414198086,10
LightGBM,gfc,KR,core,static,Lehman Crisis,0.7459916373985671,0.4366637515849311,0.030226151607172864,0.3203538081453546,0.018058851414198086,10
LightGBM,gfc,KR,core,static,Recovery,0.29593353449157483,0.16513310055203384,0.01184322468429777,0.22304836662117083,0.018058851414198086,10
LightGBM,gfc,KR,core,expanding,Full Test,0.3804664678572083,0.21061040797304426,0.01520815840449502,0.25888230124423783,0.018058851414198086,10
LightGBM,gfc,KR,core,expanding,Pre-Lehman,0.19549931573149595,0.14411276230016498,0.013273837015484928,0.1710962927016872,0.018058851414198086,10
LightGBM,gfc,KR,core,expanding,Lehman Crisis,0.6640990797435368,0.40096601446433433,0.02300384820848214,0.28518639957354047,0.018058851414198086,10
LightGBM,gfc,KR,core,expanding,Recovery,0.27196595057511647,0.15842154539891404,0.010358745718336207,0.20498373446109341,0.018058851414198086,10
XGBoost,gfc,KR,core,static,Full Test,0.3931292867203553,0.2064550153090231,0.014832701317404901,0.26749851309069356,0.01941277789928167,10
XGBoost,gfc,KR,core,static,Pre-Lehman,0.18858113121584213,0.13871899263225612,0.012373561451928208,0.1650416642318859,0.01941277789928167,10
XGBoost,gfc,KR,core,static,Lehman Crisis,0.6974878139192798,0.4011800963685696,0.023948084561343213,0.2995246409238755,0.01941277789928167,10
