source_branch,regime,country,feature_set,L,val_qlike,val_mse,val_rmse,val_rmse_cv,best_epoch,epochs_used,is_best_L
CNNBased_GH,911,US,core,22,0.01494804443009978,0.02654287777841091,0.16291984495252454,0.1820877491002169,18,28,True
CNNBased_GH,911,US,core,60,0.01568637354573547,0.026295393705368042,0.16215853362976057,0.18123686770411077,29,39,False
CNNBased_GH,911,US,core,252,0.017870833153027725,0.031078621745109558,0.17629129281202974,0.19703237934865422,22,32,False
CNNBased_GH,911,US,momentum,22,0.021384684288893466,0.03875601664185524,0.1968654812646385,0.22002716961494062,8,18,False
CNNBased_GH,911,US,momentum,60,0.020280910239433722,0.03643656149506569,0.1908836322089028,0.21334154190437185,26,36,True
CNNBased_GH,911,US,momentum,252,0.022530765141743,0.04023586958646774,0.20058879433927418,0.22418853925749943,12,22,False
CNNBased_GH,911,US,extended,22,0.021898066199845682,0.036492399871349335,0.19102982775056285,0.2135049376964383,10,20,True
CNNBased_GH,911,US,extended,60,0.023170632485342173,0.040223654359579086,0.2005583505755275,0.2241545137131197,12,22,False
CNNBased_GH,911,US,extended,252,0.025853533332075376,0.04214828088879585,0.2053004709421604,0.2294545557293277,8,18,False
CNNBased_GH,911,KR,core,22,0.012416391395991768,0.03298570588231087,0.1816196756871784,0.1664015072447249,17,27,True
CNNBased_GH,911,KR,core,60,0.013208025345434938,0.034603726118803024,0.1860207692645224,0.17043382699215423,27,37,False
CNNBased_GH,911,KR,core,252,0.018793201551163815,0.04578360542654991,0.21397105146710835,0.1960421156801956,10,20,False
CNNBased_GH,911,KR,momentum,22,0.023640855601221665,0.06100400164723396,0.246989887465268,0.2262942569020733,2,12,False
CNNBased_GH,911,KR,momentum,60,0.0235002377058138,0.056615475565195084,0.23794007416024773,0.21800274020080737,3,13,True
CNNBased_GH,911,KR,momentum,252,0.02891201660515574,0.08017919212579727,0.2831593076499993,0.2594329904238398,5,15,False
CNNBased_GH,911,KR,extended,22,0.030078221208759946,0.07812101393938065,0.2795013769153586,0.2560815628577571,34,44,False
CNNBased_GH,911,KR,extended,60,0.03183938496849887,0.08280754089355469,0.2877630012899714,0.26365093408928153,4,14,False
CNNBased_GH,911,KR,extended,252,0.02782992370062822,0.06883427500724792,0.26236287560290933,0.24037912071035827,8,18,True
CNNBased_GH,911,JP,core,22,0.014956554786912112,0.040312912315130234,0.2007807529661342,0.1676915365101046,15,25,True
CNNBased_GH,911,JP,core,60,0.018072652040024537,0.04675418138504028,0.21622714725171968,0.18059232283063217,16,26,False
CNNBased_GH,911,JP,core,252,0.04933670461617859,0.11565672606229782,0.34008339583834113,0.28403672337718877,12,22,False
CNNBased_GH,911,JP,momentum,22,0.025267620662647063,0.06058451533317566,0.2461392119994713,0.20557479761289507,5,15,True
CNNBased_GH,911,JP,momentum,60,0.030404031213960007,0.06814631819725037,0.2610484820265153,0.2180269792196687,14,24,False
CNNBased_GH,911,JP,momentum,252,0.07256196680796125,0.13781148195266724,0.37122968240047044,0.31005001684794514,8,18,False
CNNBased_GH,911,JP,extended,22,0.016237741253328764,0.047788355499506,0.2186054711098191,0.18257869242130007,11,21,True
CNNBased_GH,911,JP,extended,60,0.01625171915023676,0.046942874789237976,0.2166630400455441,0.1809563793015352,10,20,False
CNNBased_GH,911,JP,extended,252,0.028045923240721884,0.07455552369356155,0.27304856576429626,0.22804941638314435,9,19,False
CNNBased_GH,gfc,US,core,22,0.017448912251645476,0.013873095331023414,0.11778410631597525,0.20807459248557364,19,29,False
CNNBased_GH,gfc,US,core,60,0.017316401805096505,0.014193504766757745,0.11913649601748677,0.21046369187109515,34,44,False
CNNBased_GH,gfc,US,core,252,0.01713024356538663,0.012901872069949648,0.11358640881851481,0.200659040222362,21,31,True
CNNBased_GH,gfc,US,momentum,22,0.019874229754741617,0.015922361591541433,0.1261838406447596,0.22291336277568566,30,40,False
CNNBased_GH,gfc,US,momentum,60,0.01787764387186344,0.013151091167265438,0.11467820592395456,0.2025877829440826,39,49,True
CNNBased_GH,gfc,US,momentum,252,0.01838127422028142,0.013766173429163803,0.11732933830317525,0.20727121016262268,30,40,False
CNNBased_GH,gfc,US,extended,22,0.021731849863923815,0.015963331848175166,0.12634607815912957,0.22319996769840625,51,61,False
CNNBased_GH,gfc,US,extended,60,0.022349703624656426,0.015916388949371904,0.12616017316575373,0.22287155237186007,41,51,False
CNNBased_GH,gfc,US,extended,252,0.02131003085613045,0.016246602488347733,0.1274621633424769,0.22517161715916786,46,56,True
CNNBased_GH,gfc,KR,core,22,0.01556510973279074,0.017710696184827436,0.13308153553326982,0.18403074950147882,17,27,True
CNNBased_GH,gfc,KR,core,60,0.016775374347857835,0.018977254989647096,0.13775795778009642,0.19049750304185814,14,24,False
CNNBased_GH,gfc,KR,core,252,0.015959915681935284,0.018455231982854106,0.13585003381849714,0.18785914547228255,25,35,False
CNNBased_GH,gfc,KR,momentum,22,0.012523677096946626,0.014363020778663697,0.11984581892178023,0.16572784340379054,5,15,True
CNNBased_GH,gfc,KR,momentum,60,0.01389613633916462,0.016296206102255854,0.12765659337990154,0.1765289111248323,5,15,False
CNNBased_GH,gfc,KR,momentum,252,0.013449333103797518,0.015199999174764079,0.12328827226298072,0.1704882127966326,11,21,False
CNNBased_GH,gfc,KR,extended,22,0.02145551730679675,0.026286892713077607,0.16213232959679658,0.22420341044727474,25,35,True
CNNBased_GH,gfc,KR,extended,60,0.025302622774356496,0.029784757163255446,0.17258260814269005,0.2386544955327727,15,25,False
CNNBased_GH,gfc,KR,extended,252,0.03088483144664276,0.03459539192338144,0.1859983659517667,0.25720637017745224,19,29,False
CNNBased_GH,gfc,JP,core,22,0.012270636217526226,0.014638788711566191,0.12099086293273492,0.17294704272554767,16,26,False
CNNBased_GH,gfc,JP,core,60,0.012928491739216624,0.014489918743610865,0.1203740770826691,0.17206539525086895,9,19,False
