model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
TCN,gfc,JP,momentum,22,static,Pre-Lehman,0.22389702412479087,0.16310085899563043,0.020043383098955342,0.20798082668487483,0.013109912237031526,0.014765326717966482,8,8,14,TRUE,0.017267017104160155,36,24
TCN,gfc,JP,momentum,22,static,Lehman Crisis,0.7405319472407764,0.45810367454562273,0.028553262,0.34810236605798045,0.013109912237031526,0.014765326717966482,8,8,14,TRUE,0.017267017104160155,36,24
TCN,gfc,JP,momentum,22,static,Recovery,0.2386055991654306,0.1873212085141764,0.018566375460364652,0.19226406178330643,0.013109912237031526,0.014765326717966482,8,8,14,TRUE,0.017267017104160155,36,24
TCN,covid,US,momentum,22,static,Full Test,0.3975471984069209,0.20197185381285607,0.022504391108383797,0.34675310115462016,0.016343607,0.011025259998742955,15,15,14,TRUE,0.020557885274295834,26,13
TCN,covid,US,momentum,22,static,Pre-crash,0.10139767607571382,0.084980226,0.030869870843432307,0.21049074201587414,0.016343607,0.011025259998742955,15,15,14,TRUE,0.020557885274295834,26,13
TCN,covid,US,momentum,22,static,Crash,1.1908023845988829,0.8739546991529918,0.060317676947022815,0.3315315903605918,0.016343607,0.011025259998742955,15,15,14,TRUE,0.020557885274295834,26,13
TCN,covid,US,momentum,22,static,Recovery,0.21718832293497575,0.14980032900348306,0.016843605726414437,0.21714332432755343,0.016343607,0.011025259998742955,15,15,14,TRUE,0.020557885274295834,26,13
TCN,covid,KR,momentum,22,static,Full Test,0.30447345815883975,0.16781377347726975,0.023023628250710568,0.2985690676431879,0.013626945497647803,0.010519684452031339,6,6,14,TRUE,0.015042167858652747,15,13
TCN,covid,KR,momentum,22,static,Pre-crash,0.15360923139761493,0.11028787408556256,0.015897303118827307,0.19701798361064124,0.013626945497647803,0.010519684452031339,6,6,14,TRUE,0.015042167858652747,15,13
TCN,covid,KR,momentum,22,static,Crash,0.6819835169836094,0.36907412324632916,0.022617416,0.3471031576979832,0.013626945497647803,0.010519684452031339,6,6,14,TRUE,0.015042167858652747,15,13
TCN,covid,KR,momentum,22,static,Recovery,0.254108212,0.15628741479789218,0.024367127393217513,0.2646452916453316,0.013626945497647803,0.010519684452031339,6,6,14,TRUE,0.015042167858652747,15,13
TCN,covid,JP,momentum,60,static,Full Test,0.19546226871152644,0.13334462052884222,0.018467325075145424,0.2245709142070646,0.019922512942964314,0.012122745,18,18,14,TRUE,0.017717591,32,12
TCN,covid,JP,momentum,60,static,Pre-crash,0.11488501896279081,0.092559399,0.019132785610004224,0.21406304986103064,0.019922512942964314,0.012122745,18,18,14,TRUE,0.017717591,32,12
TCN,covid,JP,momentum,60,static,Crash,0.3719421839034304,0.28401899651477214,0.017174256,0.16248956696530117,0.019922512942964314,0.012122745,18,18,14,TRUE,0.017717591,32,12
TCN,covid,JP,momentum,60,static,Recovery,0.1800369904525758,0.12518923978010812,0.018481347226818025,0.22944300510233379,0.019922512942964314,0.012122745,18,18,14,TRUE,0.017717591,32,12
TCN,normal,US,momentum,252,expanding,Full Test,0.16334298866243205,0.094436657,0.018750776243948716,0.27918085704473905,,,,,14,TRUE,,,
TCN,normal,KR,momentum,22,expanding,Full Test,0.10170176493062585,0.077032784,0.015593587021400358,0.19130836144430657,,,,,14,TRUE,,,
TCN,normal,JP,momentum,252,expanding,Full Test,0.17044109799647802,0.10525194555521011,0.018136787456063903,0.2504494453276037,,,,,14,TRUE,,,
TCN,911,US,momentum,22,expanding,Full Test,0.29647598993042323,0.20928428460050513,0.032756781,0.28155383081889884,,,,,14,TRUE,,,
TCN,911,US,momentum,22,expanding,Shock,0.5070748088637406,0.40296655654907226,0.037125382,0.32176556,,,,,14,TRUE,,,
TCN,911,US,momentum,22,expanding,Recovery,0.22234514850688417,0.16526558643037623,0.031763917,0.23801738060417083,,,,,14,TRUE,,,
TCN,911,KR,momentum,22,expanding,Full Test,0.4013745992868868,0.2729439608314458,0.024811261204988968,0.28441166328796086,,,,,14,TRUE,,,
TCN,911,KR,momentum,22,expanding,Shock,0.6233888893514025,0.34034677125789503,0.036964714150122806,0.4551608619451037,,,,,14,TRUE,,,
TCN,911,KR,momentum,22,expanding,Recovery,0.323643865,0.25624785182672905,0.021800772860781508,0.22766798950353137,,,,,14,TRUE,,,
TCN,911,JP,momentum,22,expanding,Full Test,0.3489976229303298,0.26537496882273737,0.027813203,0.2541932810144036,,,,,14,TRUE,,,
TCN,911,JP,momentum,22,expanding,Shock,0.5227428354808983,0.4140023716858455,0.038169407,0.30209400091121213,,,,,14,TRUE,,,
TCN,911,JP,momentum,22,expanding,Recovery,0.2853240482005159,0.22574099472590856,0.025051549,0.2233202365189194,,,,,14,TRUE,,,
TCN,gfc,US,momentum,60,expanding,Full Test,0.6098434668470758,0.3401153358490077,0.026543818035072577,0.37727887344892846,,,,,14,TRUE,,,
TCN,gfc,US,momentum,60,expanding,Pre-Lehman,0.2617890959078172,0.17848591553870022,0.020036007386314232,0.23482652210948912,,,,,14,TRUE,,,
TCN,gfc,US,momentum,60,expanding,Lehman Crisis,1.122617039088045,0.7782204826672872,0.04416671,0.3969449982793256,,,,,14,TRUE,,,
TCN,gfc,US,momentum,60,expanding,Recovery,0.33549966349883187,0.2547216899693012,0.02313086,0.2132476033544727,,,,,14,TRUE,,,
TCN,gfc,KR,momentum,22,expanding,Full Test,0.5271426629454514,0.23521185721453855,0.015085222882773383,0.3586857639661965,,,,,14,TRUE,,,
TCN,gfc,KR,momentum,22,expanding,Pre-Lehman,0.2061077713260695,0.15425358457998795,0.014397234804850837,0.1803805572261963,,,,,14,TRUE,,,
TCN,gfc,KR,momentum,22,expanding,Lehman Crisis,0.9954673043015659,0.4831758020287853,0.021083649918690186,0.427487021,,,,,14,TRUE,,,
TCN,gfc,KR,momentum,22,expanding,Recovery,0.1878206673787115,0.14775910079479218,0.008602502,0.1415625071280126,,,,,14,TRUE,,,
TCN,gfc,JP,momentum,60,expanding,Full Test,0.49333468612510856,0.234363705,0.016906061,0.36286346678400194,,,,,14,TRUE,,,
TCN,gfc,JP,momentum,60,expanding,Pre-Lehman,0.19392978466736366,0.14638628684226357,0.014550052963084675,0.1801438723520405,,,,,14,TRUE,,,
TCN,gfc,JP,momentum,60,expanding,Lehman Crisis,0.9415053237889229,0.5093873007255688,0.026856888141745302,0.44257406056318005,,,,,14,TRUE,,,
TCN,gfc,JP,momentum,60,expanding,Recovery,0.17766590728232218,0.14367610370958006,0.010649179325571715,0.14315996394884492,,,,,14,TRUE,,,
TCN,covid,US,momentum,22,expanding,Full Test,0.4941763658179785,0.22266402882674047,0.023144273050553103,0.4310360833918052,,,,,14,TRUE,,,
TCN,covid,US,momentum,22,expanding,Pre-crash,0.09321028,0.074559207,0.021511101328174336,0.19349458176670997,,,,,14,TRUE,,,
TCN,covid,US,momentum,22,expanding,Crash,1.4650433237151033,0.9533578611555553,0.037773371139046295,0.4078830789560809,,,,,14,TRUE,,,
TCN,covid,US,momentum,22,expanding,Recovery,0.28124234578974266,0.1697426657192409,0.021841929042349457,0.2811840760184322,,,,,14,TRUE,,,
TCN,covid,KR,momentum,22,expanding,Full Test,0.29598536646023843,0.17338067112911132,0.023531064397169545,0.290245578,,,,,14,TRUE,,,
TCN,covid,KR,momentum,22,expanding,Pre-crash,0.13833318907795847,0.098753827,0.013690203727410281,0.1774250527171906,,,,,14,TRUE,,,
TCN,covid,KR,momentum,22,expanding,Crash,0.6484692716420818,0.4241099471137637,0.025013053127215003,0.3300457067534779,,,,,14,TRUE,,,
TCN,covid,KR,momentum,22,expanding,Recovery,0.25234418461543806,0.15956100837017098,0.025162879,0.26280811585100955,,,,,14,TRUE,,,
TCN,covid,JP,momentum,22,expanding,Full Test,0.2121625477872001,0.14088751156540477,0.019339224491123855,0.24375823339792171,,,,,14,TRUE,,,
TCN,covid,JP,momentum,22,expanding,Pre-crash,0.11940088036429877,0.096805427,0.019417114948542008,0.22247736769884718,,,,,14,TRUE,,,
TCN,covid,JP,momentum,22,expanding,Crash,0.3997164542256523,0.3207724125761735,0.017253698,0.1746232515881962,,,,,14,TRUE,,,
TCN,covid,JP,momentum,22,expanding,Recovery,0.19684231532740132,0.13033318727888088,0.019538442830083394,0.25086007184682957,,,,,14,TRUE,,,
