model,regime,country,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV
GARCH,covid,KR,static,Full Test,0.8393047856964185,0.6303532909675316,0.12980141495565378,0.8230288730912572
GARCH,covid,KR,static,Pre-crash,0.3390280474057444,0.2977387603644284,0.05781275158705723,0.4348346858558453
GARCH,covid,KR,static,Crash,0.8622739399414405,0.6411853373683145,0.07020321803579331,0.43886398505318003
GARCH,covid,KR,static,Recovery,0.8986753037069855,0.6898013930336367,0.14944290117033063,0.9359405855243839
GARCH,covid,KR,expanding,Full Test,0.8395958939285912,0.6261280177592894,0.1271456557403955,0.8233143361129817
GARCH,covid,KR,expanding,Pre-crash,0.34134280138770645,0.29953362590636834,0.05832098126426959,0.4378035709622018
GARCH,covid,KR,expanding,Crash,0.8611622614965705,0.6516834252603357,0.06983465964361629,0.4382981838503204
GARCH,covid,KR,expanding,Recovery,0.8989833456640588,0.6828683310787179,0.1459602105565245,0.9362614010274694
HAR_RV,covid,KR,static,Full Test,0.37222633457604465,0.22258649686145188,0.03889683063656437,0.365008070848557
HAR_RV,covid,KR,static,Pre-crash,0.1787318203329632,0.1197631404231666,0.02153892499130295,0.22924001580882358
HAR_RV,covid,KR,static,Crash,0.9037735743885444,0.5116926737469767,0.07773951811154405,0.4599856890825783
HAR_RV,covid,KR,static,Recovery,0.2894857938968022,0.20970934978199332,0.03781261324390591,0.30148987328698756
HAR_RV,covid,KR,expanding,Full Test,0.37196585815477656,0.22194398766524273,0.03882277001400682,0.3647526456214922
HAR_RV,covid,KR,expanding,Pre-crash,0.1787442178241223,0.1198017453302595,0.021539004077004913,0.22925591673269943
HAR_RV,covid,KR,expanding,Crash,0.9041417336162262,0.515001147777425,0.0776658457911199,0.4601730678473888
HAR_RV,covid,KR,expanding,Recovery,0.2889256554997741,0.20851054037028746,0.037724995099817714,0.3009065076852774
GARCH,covid,JP,static,Full Test,0.7980038561518717,0.681592898579563,0.2113524785858472,0.9168442435252988
