regime,country,tier,model,feature,importance_raw,importance_norm,rank
gfc,JP,core,Ridge,hl_range,0.2509524203948869,1.0,1
gfc,JP,core,Ridge,weekday_sin,0.017002580103101433,0.06775220608092551,6
gfc,JP,core,Ridge,weekday_cos,0.021854427811885485,0.0870859415402186,5
gfc,JP,extended,ElasticNet,RV_d,0.08673655043814062,0.3549005073472426,3
gfc,JP,extended,ElasticNet,RV_w,0.13393593994026456,0.5480265562409044,2
gfc,JP,extended,ElasticNet,RV_m,0.015567220777252408,0.0636964984648962,5
gfc,JP,extended,ElasticNet,log_return,0.0,0.0,19
gfc,JP,extended,ElasticNet,neg_return,0.0,0.0,20
gfc,JP,extended,ElasticNet,semivariance,0.008602677522525413,0.03519963154940565,8
gfc,JP,extended,ElasticNet,parkinson_rv,0.0,0.0,21
gfc,JP,extended,ElasticNet,hl_range,0.24439680598505215,1.0,1
gfc,JP,extended,ElasticNet,weekday_sin,0.012407103197428201,0.05076622481795874,6
gfc,JP,extended,ElasticNet,weekday_cos,0.01695176298471366,0.06936163881679562,4
gfc,JP,extended,ElasticNet,momentum_1w,0.010920389382275943,0.04468302823459918,7
gfc,JP,extended,ElasticNet,momentum_1m,0.004705226430134834,0.019252405575311063,11
gfc,JP,extended,ElasticNet,momentum_3m,0.0,0.0,22
gfc,JP,extended,ElasticNet,momentum_6m,0.0023810623271220883,0.00974260820441213,14
gfc,JP,extended,ElasticNet,fx_level,0.0058209087365725,0.023817450122193985,10
gfc,JP,extended,ElasticNet,fx_change,0.00350036974600944,0.014322485647474176,13
gfc,JP,extended,ElasticNet,rate_3y,0.0,0.0,23
gfc,JP,extended,ElasticNet,rate_10y,0.00017406739601798877,0.0007122326959896322,17
gfc,JP,extended,ElasticNet,rate_spread,0.00047352400877822274,0.0019375212653441327,16
gfc,JP,extended,ElasticNet,policy_rate,4.786692975080693e-05,0.00019585742766922484,18
gfc,JP,extended,ElasticNet,gold_chg,0.0,0.0,24
gfc,JP,extended,ElasticNet,crb_chg,0.004296426660652803,0.017579716900701158,12
gfc,JP,extended,ElasticNet,wti_chg,0.0,0.0,25
gfc,JP,extended,ElasticNet,natgas_chg,0.0,0.0,26
gfc,JP,extended,ElasticNet,corn_chg,0.0,0.0,27
gfc,JP,extended,ElasticNet,epu,0.0,0.0,28
gfc,JP,extended,ElasticNet,spillover_SP500,0.008158343744366333,0.03338154814046676,9
gfc,JP,extended,ElasticNet,spillover_KOSPI,0.0013948989738037196,0.005707517200077626,15
gfc,JP,momentum,Ridge,RV_d,0.08754531701085713,0.3544125874477661,3
gfc,JP,momentum,Ridge,RV_w,0.126740002054187,0.5130857205713124,2
gfc,JP,momentum,Ridge,RV_m,0.02844679106167084,0.11516208026869579,4
gfc,JP,momentum,Ridge,log_return,0.001468081978084111,0.005943284577674183,14
gfc,JP,momentum,Ridge,neg_return,0.0034826044533683084,0.014098742200251596,12
gfc,JP,momentum,Ridge,semivariance,0.009192314349107706,0.037213548643572306,8
gfc,JP,momentum,Ridge,parkinson_rv,0.001954780860367023,0.007913603677169026,13
gfc,JP,momentum,Ridge,hl_range,0.24701525880132488,1.0,1
gfc,JP,momentum,Ridge,weekday_sin,0.017003029229569495,0.06883392269805115,6
gfc,JP,momentum,Ridge,weekday_cos,0.021831507978555174,0.088381212093923,5
gfc,JP,momentum,Ridge,momentum_1w,0.014421550987033255,0.05838323938778435,7
gfc,JP,momentum,Ridge,momentum_1m,0.00648183355755141,0.02624062006940538,9
gfc,JP,momentum,Ridge,momentum_3m,0.00448459895605166,0.01815514951511006,11
gfc,JP,momentum,Ridge,momentum_6m,0.006378617135734617,0.025822765632729425,10
normal,JP,core,Ridge,RV_d,0.09895405803572348,0.0534340165043663,4
normal,JP,core,Ridge,RV_w,0.11996814088788471,0.06478137175422514,3
normal,JP,core,Ridge,RV_m,0.02370651208802077,0.0128012350712788,5
normal,JP,core,Ridge,log_return,0.0010771437783090277,0.0005816448518661224,10
normal,JP,core,Ridge,neg_return,1.8518925678670919,1.0,1
normal,JP,core,Ridge,semivariance,0.006206251485756526,0.003351302118407735,8
normal,JP,core,Ridge,parkinson_rv,0.002468481966069886,0.0013329509545539934,9
normal,JP,core,Ridge,hl_range,0.27026905064567064,0.1459420785715187,2
normal,JP,core,Ridge,weekday_sin,0.015075875401984705,0.008140793728303727,6
normal,JP,core,Ridge,weekday_cos,0.010432446821572948,0.0056333974241218904,7
normal,JP,extended,XGBoost,RV_d,0.0735846534371376,0.2909645643240662,4
normal,JP,extended,XGBoost,RV_w,0.09185632318258286,0.36321343930855515,3
normal,JP,extended,XGBoost,RV_m,0.020603658631443977,0.08146990271961091,9
normal,JP,extended,XGBoost,log_return,0.020699480548501015,0.0818487967015336,8
